Drug,Cell,Label
Nilotinib,COLO678_LARGE_INTESTINE,Resistance
Nilotinib,COLO679_SKIN,Resistance
Nilotinib,CORL23_LUNG,Resistance
Nilotinib,COV318_OVARY,Resistance
Nilotinib,COV504_OVARY,Resistance
Nilotinib,DAOY_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,DETROIT562_UPPER_AERODIGESTIVE_TRACT,Resistance
Nilotinib,DKMG_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,DMS114_LUNG,Resistance
Nilotinib,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,DU145_PROSTATE,Resistance
Nilotinib,EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,EBC1_LUNG,Resistance
Nilotinib,EFE184_ENDOMETRIUM,Resistance
Nilotinib,EFM19_BREAST,Resistance
Nilotinib,EFO21_OVARY,Resistance
Nilotinib,EFO27_OVARY,Resistance
Nilotinib,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity
Nilotinib,EN_ENDOMETRIUM,Resistance
Nilotinib,F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,FADU_UPPER_AERODIGESTIVE_TRACT,Resistance
Nilotinib,FUOV1_OVARY,Resistance
Nilotinib,G361_SKIN,Resistance
Nilotinib,G401_SOFT_TISSUE,Resistance
Nilotinib,GB1_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,GCIY_STOMACH,Resistance
Nilotinib,GCT_SOFT_TISSUE,Resistance
Nilotinib,GMS10_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity
Nilotinib,H4_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,HCC1187_BREAST,Resistance
Nilotinib,HCC15_LUNG,Resistance
Nilotinib,HCC1569_BREAST,Resistance
Nilotinib,HCC1806_BREAST,Resistance
Nilotinib,HCC1954_BREAST,Resistance
Nilotinib,HCC2935_LUNG,Resistance
Nilotinib,HCC4006_LUNG,Resistance
Nilotinib,HCC56_LARGE_INTESTINE,Resistance
Nilotinib,HCC70_BREAST,Resistance
Nilotinib,HCC78_LUNG,Resistance
Nilotinib,HCT116_LARGE_INTESTINE,Resistance
Nilotinib,HCT15_LARGE_INTESTINE,Resistance
Nilotinib,HDQP1_BREAST,Sensitivity
Nilotinib,HEC151_ENDOMETRIUM,Resistance
Nilotinib,HEC1A_ENDOMETRIUM,Resistance
Nilotinib,HEC1B_ENDOMETRIUM,Resistance
Nilotinib,HEC251_ENDOMETRIUM,Resistance
Nilotinib,HEC265_ENDOMETRIUM,Resistance
Nilotinib,HEC59_ENDOMETRIUM,Resistance
Nilotinib,HEC6_ENDOMETRIUM,Resistance
Nilotinib,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,HEP3B217_LIVER,Resistance
Nilotinib,HEPG2_LIVER,Resistance
Nilotinib,HEYA8_OVARY,Resistance
Nilotinib,HGC27_STOMACH,Resistance
Nilotinib,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,HLE_LIVER,Resistance
Nilotinib,HLF_LIVER,Resistance
Nilotinib,HMC18_BREAST,Resistance
Nilotinib,HMCB_SKIN,Resistance
Nilotinib,HOS_BONE,Resistance
Nilotinib,HPAC_PANCREAS,Resistance
Nilotinib,HS229T_LUNG,Resistance
Nilotinib,HS294T_SKIN,Resistance
Nilotinib,HS578T_BREAST,Resistance
Nilotinib,HS683_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,HS695T_SKIN,Resistance
Nilotinib,HS739T_BREAST,Resistance
Nilotinib,HS746T_STOMACH,Resistance
Nilotinib,HS766T_PANCREAS,Resistance
Nilotinib,HS840T_UPPER_AERODIGESTIVE_TRACT,Resistance
Nilotinib,HS852T_SKIN,Resistance
Nilotinib,HS895T_SKIN,Resistance
Nilotinib,HS936T_SKIN,Resistance
Nilotinib,HS939T_SKIN,Resistance
Nilotinib,HS944T_SKIN,Resistance
Nilotinib,HSC2_UPPER_AERODIGESTIVE_TRACT,Resistance
Nilotinib,HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,HT1197_URINARY_TRACT,Resistance
Nilotinib,HT1376_URINARY_TRACT,Resistance
Nilotinib,HT144_SKIN,Resistance
Nilotinib,HT29_LARGE_INTESTINE,Resistance
Nilotinib,HUCCT1_BILIARY_TRACT,Resistance
Nilotinib,HUH1_LIVER,Resistance
Nilotinib,HUPT3_PANCREAS,Resistance
Nilotinib,HUPT4_PANCREAS,Resistance
Nilotinib,HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity
Nilotinib,IALM_LUNG,Resistance
Nilotinib,IGR37_SKIN,Resistance
Nilotinib,IGR39_SKIN,Resistance
Nilotinib,IGROV1_OVARY,Resistance
Nilotinib,IM95_STOMACH,Resistance
Nilotinib,IMR32_AUTONOMIC_GANGLIA,Resistance
Nilotinib,IPC298_SKIN,Resistance
Nilotinib,ISTMES1_PLEURA,Resistance
Nilotinib,ISTMES2_PLEURA,Resistance
Nilotinib,JHH2_LIVER,Resistance
Nilotinib,JHH4_LIVER,Resistance
Nilotinib,JHH6_LIVER,Resistance
Nilotinib,JHOS2_OVARY,Resistance
Nilotinib,JHOS4_OVARY,Resistance
Nilotinib,JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,JMSU1_URINARY_TRACT,Resistance
Nilotinib,JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,K029AX_SKIN,Resistance
Nilotinib,KALS1_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity
Nilotinib,KE39_STOMACH,Resistance
Nilotinib,KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,KLE_ENDOMETRIUM,Resistance
Nilotinib,KMBC2_URINARY_TRACT,Resistance
Nilotinib,KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,KMRC1_KIDNEY,Resistance
Nilotinib,KMRC2_KIDNEY,Resistance
Nilotinib,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,KNS42_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,KNS60_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,KNS81_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,KP2_PANCREAS,Resistance
Nilotinib,KP3_PANCREAS,Resistance
Nilotinib,KP4_PANCREAS,Resistance
Nilotinib,KPNSI9S_AUTONOMIC_GANGLIA,Resistance
Nilotinib,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity
Nilotinib,KURAMOCHI_OVARY,Resistance
Nilotinib,KYSE30_OESOPHAGUS,Resistance
Nilotinib,KYSE410_OESOPHAGUS,Resistance
Nilotinib,KYSE520_OESOPHAGUS,Resistance
Nilotinib,L33_PANCREAS,Resistance
Nilotinib,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,LC1SQSF_LUNG,Resistance
Nilotinib,LCLC103H_LUNG,Resistance
Nilotinib,LN18_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,LN229_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,LOUNH91_LUNG,Resistance
Nilotinib,LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,LS123_LARGE_INTESTINE,Resistance
Nilotinib,LS513_LARGE_INTESTINE,Resistance
Nilotinib,LU99_LUNG,Resistance
Nilotinib,LUDLU1_LUNG,Resistance
Nilotinib,MALME3M_SKIN,Resistance
Nilotinib,MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,MCAS_OVARY,Resistance
Nilotinib,MCF7_BREAST,Resistance
Nilotinib,MDAMB157_BREAST,Resistance
Nilotinib,MDAMB175VII_BREAST,Resistance
Nilotinib,MDAMB415_BREAST,Resistance
Nilotinib,MDAMB435S_SKIN,Resistance
Nilotinib,MDAMB436_BREAST,Resistance
Nilotinib,MDAMB453_BREAST,Resistance
Nilotinib,MDAMB468_BREAST,Resistance
Nilotinib,MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity
Nilotinib,MELHO_SKIN,Resistance
Nilotinib,MESSA_SOFT_TISSUE,Resistance
Nilotinib,MEWO_SKIN,Resistance
Nilotinib,MFE280_ENDOMETRIUM,Resistance
Nilotinib,MG63_BONE,Resistance
Nilotinib,MHHES1_BONE,Resistance
Nilotinib,MIAPACA2_PANCREAS,Resistance
Nilotinib,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,MKN45_STOMACH,Resistance
Nilotinib,MKN7_STOMACH,Resistance
Nilotinib,MKN74_STOMACH,Resistance
Nilotinib,MOGGCCM_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,MPP89_PLEURA,Resistance
Nilotinib,MSTO211H_PLEURA,Resistance
Nilotinib,NCIH1048_LUNG,Resistance
Nilotinib,NCIH1092_LUNG,Resistance
Nilotinib,NCIH1184_LUNG,Resistance
Nilotinib,NCIH1339_LUNG,Resistance
Nilotinib,NCIH1341_LUNG,Resistance
Nilotinib,NCIH1355_LUNG,Resistance
Nilotinib,NCIH1373_LUNG,Resistance
Nilotinib,NCIH1563_LUNG,Resistance
Nilotinib,NCIH1568_LUNG,Resistance
Nilotinib,NCIH1573_LUNG,Resistance
Nilotinib,NCIH1581_LUNG,Resistance
Nilotinib,NCIH1648_LUNG,Resistance
Nilotinib,NCIH1650_LUNG,Resistance
Nilotinib,NCIH1651_LUNG,Resistance
Nilotinib,NCIH1666_LUNG,Resistance
Nilotinib,NCIH1693_LUNG,Resistance
Nilotinib,NCIH1694_LUNG,Resistance
Nilotinib,NCIH1792_LUNG,Resistance
Nilotinib,NCIH1793_LUNG,Resistance
Nilotinib,NCIH1869_LUNG,Resistance
Nilotinib,NCIH1915_LUNG,Resistance
Nilotinib,NCIH1944_LUNG,Resistance
Nilotinib,NCIH1975_LUNG,Resistance
Nilotinib,NCIH2009_LUNG,Resistance
Nilotinib,NCIH2023_LUNG,Resistance
Nilotinib,NCIH2030_LUNG,Resistance
Nilotinib,NCIH2052_PLEURA,Resistance
Nilotinib,NCIH2085_LUNG,Resistance
Nilotinib,NCIH2087_LUNG,Resistance
Nilotinib,NCIH211_LUNG,Resistance
Nilotinib,NCIH2122_LUNG,Resistance
Nilotinib,NCIH2170_LUNG,Resistance
Nilotinib,NCIH2172_LUNG,Resistance
Nilotinib,NCIH2228_LUNG,Resistance
Nilotinib,NCIH226_LUNG,Resistance
Nilotinib,NCIH2286_LUNG,Resistance
Nilotinib,NCIH23_LUNG,Resistance
Nilotinib,NCIH2444_LUNG,Resistance
Nilotinib,NCIH2452_PLEURA,Resistance
Nilotinib,NCIH28_PLEURA,Resistance
Nilotinib,NCIH322_LUNG,Resistance
Nilotinib,NCIH3255_LUNG,Resistance
Nilotinib,NCIH358_LUNG,Resistance
Nilotinib,NCIH441_LUNG,Resistance
Nilotinib,NCIH520_LUNG,Resistance
Nilotinib,NCIH522_LUNG,Resistance
Nilotinib,NCIH647_LUNG,Resistance
Nilotinib,NCIH650_LUNG,Resistance
Nilotinib,NCIH661_LUNG,Resistance
Nilotinib,NCIH727_LUNG,Resistance
Nilotinib,NCIH747_LARGE_INTESTINE,Resistance
Nilotinib,NCIH810_LUNG,Resistance
Nilotinib,NCIN87_STOMACH,Resistance
Nilotinib,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity
Nilotinib,NIHOVCAR3_OVARY,Resistance
Nilotinib,NUGC3_STOMACH,Resistance
Nilotinib,NUGC4_STOMACH,Resistance
Nilotinib,OC314_OVARY,Resistance
Nilotinib,OC315_OVARY,Resistance
Nilotinib,OC316_OVARY,Resistance
Nilotinib,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,OCUM1_STOMACH,Resistance
Nilotinib,OE33_OESOPHAGUS,Resistance
Nilotinib,ONCODG1_OVARY,Resistance
Nilotinib,ONS76_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,OV90_OVARY,Resistance
Nilotinib,OVCAR4_OVARY,Resistance
Nilotinib,OVCAR8_OVARY,Resistance
Nilotinib,OVMANA_OVARY,Resistance
Nilotinib,OVSAHO_OVARY,Resistance
Nilotinib,OVTOKO_OVARY,Resistance
Nilotinib,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,PANC0203_PANCREAS,Resistance
Nilotinib,PANC0327_PANCREAS,Resistance
Nilotinib,PANC0403_PANCREAS,Resistance
Nilotinib,PANC1005_PANCREAS,Resistance
Nilotinib,PC3_PROSTATE,Resistance
Nilotinib,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,PK1_PANCREAS,Resistance
Nilotinib,PK45H_PANCREAS,Resistance
Nilotinib,PK59_PANCREAS,Resistance
Nilotinib,PL45_PANCREAS,Resistance
Nilotinib,PLCPRF5_LIVER,Resistance
Nilotinib,RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,RERFGC1B_STOMACH,Resistance
Nilotinib,RERFLCAI_LUNG,Resistance
Nilotinib,RERFLCMS_LUNG,Resistance
Nilotinib,RKO_LARGE_INTESTINE,Resistance
Nilotinib,RL952_ENDOMETRIUM,Resistance
Nilotinib,RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,RT112_URINARY_TRACT,Resistance
Nilotinib,RT4_URINARY_TRACT,Resistance
Nilotinib,RVH421_SKIN,Resistance
Nilotinib,SAOS2_BONE,Resistance
Nilotinib,SBC5_LUNG,Resistance
Nilotinib,SCABER_URINARY_TRACT,Resistance
Nilotinib,SF126_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,SF295_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,SH10TC_STOMACH,Resistance
Nilotinib,SHP77_LUNG,Resistance
Nilotinib,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,SIMA_AUTONOMIC_GANGLIA,Resistance
Nilotinib,SJRH30_SOFT_TISSUE,Resistance
Nilotinib,SKBR3_BREAST,Resistance
Nilotinib,SKCO1_LARGE_INTESTINE,Sensitivity
Nilotinib,SKES1_BONE,Resistance
Nilotinib,SKHEP1_LIVER,Resistance
Nilotinib,SKLU1_LUNG,Resistance
Nilotinib,SKMEL2_SKIN,Resistance
Nilotinib,SKMEL24_SKIN,Resistance
Nilotinib,SKMEL30_SKIN,Resistance
Nilotinib,SKMEL31_SKIN,Resistance
Nilotinib,SKMEL5_SKIN,Resistance
Nilotinib,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,SKNBE2_AUTONOMIC_GANGLIA,Resistance
Nilotinib,SKNSH_AUTONOMIC_GANGLIA,Resistance
Nilotinib,SKOV3_OVARY,Resistance
Nilotinib,SNGM_ENDOMETRIUM,Resistance
Nilotinib,SNU1_STOMACH,Resistance
Nilotinib,SNU16_STOMACH,Sensitivity
Nilotinib,SNU182_LIVER,Resistance
Nilotinib,SNU423_LIVER,Resistance
Nilotinib,SNU449_LIVER,Resistance
Nilotinib,SNUC2A_LARGE_INTESTINE,Resistance
Nilotinib,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity
Nilotinib,SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,SUIT2_PANCREAS,Resistance
Nilotinib,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,SW1088_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,SW1271_LUNG,Resistance
Nilotinib,SW1353_BONE,Resistance
Nilotinib,SW1990_PANCREAS,Resistance
Nilotinib,SW403_LARGE_INTESTINE,Resistance
Nilotinib,SW48_LARGE_INTESTINE,Resistance
Nilotinib,SW480_LARGE_INTESTINE,Resistance
Nilotinib,SW579_THYROID,Resistance
Nilotinib,SW620_LARGE_INTESTINE,Resistance
Nilotinib,SW780_URINARY_TRACT,Resistance
Nilotinib,SW900_LUNG,Resistance
Nilotinib,T24_URINARY_TRACT,Resistance
Nilotinib,T3M10_LUNG,Resistance
Nilotinib,T47D_BREAST,Resistance
Nilotinib,T84_LARGE_INTESTINE,Resistance
Nilotinib,T98G_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,TC71_BONE,Resistance
Nilotinib,TCCSUP_URINARY_TRACT,Resistance
Nilotinib,TE617T_SOFT_TISSUE,Resistance
Nilotinib,TE9_OESOPHAGUS,Resistance
Nilotinib,TEN_ENDOMETRIUM,Resistance
Nilotinib,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,TOV112D_OVARY,Resistance
Nilotinib,TOV21G_OVARY,Resistance
Nilotinib,TT2609C02_THYROID,Resistance
Nilotinib,TYKNU_OVARY,Resistance
Nilotinib,U118MG_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,U2OS_BONE,Resistance
Nilotinib,U87MG_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,UACC812_BREAST,Resistance
Nilotinib,UMUC3_URINARY_TRACT,Resistance
Nilotinib,VMRCLCD_LUNG,Resistance
Nilotinib,VMRCRCW_KIDNEY,Resistance
Nilotinib,VMRCRCZ_KIDNEY,Resistance
Nilotinib,WM1799_SKIN,Resistance
Nilotinib,WM793_SKIN,Resistance
Nilotinib,WM88_SKIN,Resistance
Nilotinib,WM983B_SKIN,Resistance
Nilotinib,YKG1_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,ZR7530_BREAST,Resistance
Tanespimycin,1321N1_CENTRAL_NERVOUS_SYSTEM,Resistance
Tanespimycin,22RV1_PROSTATE,Resistance
Tanespimycin,42MGBA_CENTRAL_NERVOUS_SYSTEM,Resistance
Tanespimycin,5637_URINARY_TRACT,Resistance
Tanespimycin,639V_URINARY_TRACT,Resistance
Tanespimycin,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Tanespimycin,769P_KIDNEY,Resistance
Tanespimycin,786O_KIDNEY,Resistance
Tanespimycin,8305C_THYROID,Resistance
Tanespimycin,8505C_THYROID,Resistance
Tanespimycin,8MGBA_CENTRAL_NERVOUS_SYSTEM,Resistance
Tanespimycin,A172_CENTRAL_NERVOUS_SYSTEM,Resistance
Tanespimycin,A204_SOFT_TISSUE,Resistance
Tanespimycin,A2058_SKIN,Resistance
Tanespimycin,A253_SALIVARY_GLAND,Resistance
Tanespimycin,A2780_OVARY,Resistance
Tanespimycin,A375_SKIN,Resistance
Tanespimycin,A549_LUNG,Resistance
Tanespimycin,A673_BONE,Resistance
Tanespimycin,ACHN_KIDNEY,Resistance
Tanespimycin,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Tanespimycin,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Tanespimycin,AN3CA_ENDOMETRIUM,Resistance
Tanespimycin,ASPC1_PANCREAS,Resistance
Tanespimycin,AU565_BREAST,Resistance
Tanespimycin,AZ521_STOMACH,Resistance
Tanespimycin,BCPAP_THYROID,Resistance
Tanespimycin,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Tanespimycin,BFTC909_KIDNEY,Resistance
Tanespimycin,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Tanespimycin,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Tanespimycin,BT20_BREAST,Resistance
Tanespimycin,BT474_BREAST,Resistance
Tanespimycin,BT549_BREAST,Resistance
Tanespimycin,BXPC3_PANCREAS,Resistance
Tanespimycin,C2BBE1_LARGE_INTESTINE,Resistance
Tanespimycin,C32_SKIN,Resistance
Tanespimycin,C3A_LIVER,Resistance
Tanespimycin,CAKI2_KIDNEY,Resistance
Tanespimycin,CAL12T_LUNG,Resistance
Tanespimycin,CAL27_UPPER_AERODIGESTIVE_TRACT,Resistance
Tanespimycin,CAL78_BONE,Resistance
Tanespimycin,CAL851_BREAST,Resistance
Tanespimycin,CALU1_LUNG,Resistance
Tanespimycin,CALU3_LUNG,Resistance
Tanespimycin,CALU6_LUNG,Resistance
Tanespimycin,CAMA1_BREAST,Resistance
Tanespimycin,CAPAN2_PANCREAS,Resistance
Tanespimycin,CAS1_CENTRAL_NERVOUS_SYSTEM,Resistance
Tanespimycin,CCK81_LARGE_INTESTINE,Resistance
Tanespimycin,CHL1_SKIN,Resistance
Tanespimycin,CHP212_AUTONOMIC_GANGLIA,Resistance
Tanespimycin,CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Tanespimycin,CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Tanespimycin,COLO201_LARGE_INTESTINE,Resistance
Tanespimycin,COLO205_LARGE_INTESTINE,Resistance
Tanespimycin,COLO320_LARGE_INTESTINE,Resistance
Tanespimycin,COLO678_LARGE_INTESTINE,Resistance
Tanespimycin,COLO679_SKIN,Resistance
Tanespimycin,COLO741_SKIN,Resistance
Tanespimycin,CORL105_LUNG,Resistance
Tanespimycin,CORL23_LUNG,Resistance
Tanespimycin,COV318_OVARY,Resistance
Tanespimycin,COV504_OVARY,Resistance
Tanespimycin,DAOY_CENTRAL_NERVOUS_SYSTEM,Resistance
Tanespimycin,DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,Resistance
Tanespimycin,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Tanespimycin,DETROIT562_UPPER_AERODIGESTIVE_TRACT,Resistance
Tanespimycin,DKMG_CENTRAL_NERVOUS_SYSTEM,Resistance
Tanespimycin,DMS114_LUNG,Resistance
Tanespimycin,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
